Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/12,51-60,2,6,10/12/2020 02:15:02 PM
2020/03/13,51-60,3,9,10/12/2020 02:15:02 PM
2020/03/14,51-60,1,10,10/12/2020 02:15:02 PM
2020/03/15,51-60,0,10,10/12/2020 02:15:02 PM
2020/03/16,51-60,8,18,10/12/2020 02:15:02 PM
2020/03/17,51-60,3,21,10/12/2020 02:15:02 PM
2020/03/18,51-60,4,25,10/12/2020 02:15:02 PM
2020/03/19,51-60,3,28,10/12/2020 02:15:02 PM
2020/03/20,51-60,4,32,10/12/2020 02:15:02 PM
2020/03/21,51-60,7,39,10/12/2020 02:15:02 PM
2020/03/22,51-60,5,44,10/12/2020 02:15:02 PM
2020/03/23,51-60,7,51,10/12/2020 02:15:02 PM
2020/03/24,51-60,6,57,10/12/2020 02:15:02 PM
2020/03/25,51-60,5,62,10/12/2020 02:15:02 PM
2020/03/26,51-60,9,71,10/12/2020 02:15:02 PM
2020/03/27,51-60,4,75,10/12/2020 02:15:02 PM
2020/03/28,51-60,6,81,10/12/2020 02:15:02 PM
2020/03/29,51-60,0,81,10/12/2020 02:15:02 PM
2020/03/30,51-60,6,87,10/12/2020 02:15:02 PM
2020/03/31,51-60,9,96,10/12/2020 02:15:02 PM
2020/04/01,51-60,5,101,10/12/2020 02:15:02 PM
2020/04/02,51-60,3,104,10/12/2020 02:15:02 PM
2020/04/03,51-60,5,109,10/12/2020 02:15:02 PM
2020/04/04,51-60,2,111,10/12/2020 02:15:02 PM
2020/04/05,51-60,4,115,10/12/2020 02:15:02 PM
2020/04/06,51-60,6,121,10/12/2020 02:15:02 PM
2020/04/07,51-60,5,126,10/12/2020 02:15:02 PM
2020/04/08,51-60,14,140,10/12/2020 02:15:02 PM
2020/04/09,51-60,16,156,10/12/2020 02:15:02 PM
2020/04/10,51-60,7,163,10/12/2020 02:15:02 PM
2020/04/11,51-60,3,166,10/12/2020 02:15:02 PM
2020/04/12,51-60,5,171,10/12/2020 02:15:02 PM
2020/04/13,51-60,3,174,10/12/2020 02:15:02 PM
2020/04/14,51-60,9,183,10/12/2020 02:15:02 PM
2020/04/15,51-60,3,186,10/12/2020 02:15:02 PM
2020/04/16,51-60,5,191,10/12/2020 02:15:02 PM
2020/04/17,51-60,6,197,10/12/2020 02:15:02 PM
2020/04/18,51-60,1,198,10/12/2020 02:15:02 PM
2020/04/19,51-60,9,207,10/12/2020 02:15:02 PM
2020/04/20,51-60,9,216,10/12/2020 02:15:02 PM
2020/04/21,51-60,5,221,10/12/2020 02:15:02 PM
2020/04/22,51-60,4,225,10/12/2020 02:15:02 PM
2020/04/23,51-60,5,230,10/12/2020 02:15:02 PM
2020/04/24,51-60,7,237,10/12/2020 02:15:02 PM
2020/04/25,51-60,5,242,10/12/2020 02:15:02 PM
2020/04/26,51-60,5,247,10/12/2020 02:15:02 PM
2020/04/27,51-60,3,250,10/12/2020 02:15:02 PM
2020/04/28,51-60,9,259,10/12/2020 02:15:02 PM
2020/04/29,51-60,6,265,10/12/2020 02:15:02 PM
2020/04/30,51-60,4,269,10/12/2020 02:15:02 PM
2020/05/01,51-60,5,274,10/12/2020 02:15:02 PM
2020/05/02,51-60,2,276,10/12/2020 02:15:02 PM
2020/05/03,51-60,3,279,10/12/2020 02:15:02 PM
2020/05/04,51-60,0,279,10/12/2020 02:15:02 PM
2020/05/05,51-60,6,285,10/12/2020 02:15:02 PM
2020/05/06,51-60,8,293,10/12/2020 02:15:02 PM
2020/05/07,51-60,5,298,10/12/2020 02:15:02 PM
2020/05/08,51-60,1,299,10/12/2020 02:15:02 PM
2020/05/09,51-60,1,300,10/12/2020 02:15:02 PM
2020/05/10,51-60,0,300,10/12/2020 02:15:02 PM
2020/05/11,51-60,7,307,10/12/2020 02:15:02 PM
2020/05/12,51-60,9,316,10/12/2020 02:15:02 PM
2020/05/13,51-60,5,321,10/12/2020 02:15:02 PM
2020/05/14,51-60,3,324,10/12/2020 02:15:02 PM
2020/05/15,51-60,1,325,10/12/2020 02:15:02 PM
2020/05/16,51-60,1,326,10/12/2020 02:15:02 PM
2020/05/17,51-60,0,326,10/12/2020 02:15:02 PM
2020/05/18,51-60,5,331,10/12/2020 02:15:02 PM
2020/05/19,51-60,2,333,10/12/2020 02:15:02 PM
2020/05/20,51-60,3,336,10/12/2020 02:15:02 PM
2020/05/21,51-60,3,339,10/12/2020 02:15:02 PM
2020/05/22,51-60,3,342,10/12/2020 02:15:02 PM
2020/05/23,51-60,2,344,10/12/2020 02:15:02 PM
2020/05/24,51-60,1,345,10/12/2020 02:15:02 PM
2020/05/25,51-60,1,346,10/12/2020 02:15:02 PM
2020/05/26,51-60,5,351,10/12/2020 02:15:02 PM
2020/05/27,51-60,3,354,10/12/2020 02:15:02 PM
2020/05/28,51-60,2,356,10/12/2020 02:15:02 PM
2020/05/29,51-60,2,358,10/12/2020 02:15:02 PM
2020/05/30,51-60,0,358,10/12/2020 02:15:02 PM
2020/05/31,51-60,1,359,10/12/2020 02:15:02 PM
2020/06/01,51-60,2,361,10/12/2020 02:15:02 PM
2020/06/02,51-60,5,366,10/12/2020 02:15:02 PM
2020/06/03,51-60,2,368,10/12/2020 02:15:02 PM
2020/06/04,51-60,8,376,10/12/2020 02:15:02 PM
2020/06/05,51-60,2,378,10/12/2020 02:15:02 PM
2020/06/06,51-60,1,379,10/12/2020 02:15:02 PM
2020/06/07,51-60,0,379,10/12/2020 02:15:02 PM
2020/06/08,51-60,2,381,10/12/2020 02:15:02 PM
2020/06/09,51-60,5,386,10/12/2020 02:15:02 PM
2020/06/10,51-60,1,387,10/12/2020 02:15:02 PM
2020/06/11,51-60,3,390,10/12/2020 02:15:02 PM
2020/06/12,51-60,1,391,10/12/2020 02:15:02 PM
2020/06/13,51-60,1,392,10/12/2020 02:15:02 PM
2020/06/14,51-60,1,393,10/12/2020 02:15:02 PM
2020/06/15,51-60,2,395,10/12/2020 02:15:02 PM
2020/06/16,51-60,1,396,10/12/2020 02:15:02 PM
